puuid,gameName,tagLine,leaderboardRank,rankedRating,numberOfWins,competitiveTier
QRQc2iBwH5tXeX3-9jdpbnpoET7_u9KVYWihtb0P7Ig3tPYSEzieKyYqnpxEzByoLIeyBPdbcw5Ucg,ONC Shiro,14022,1,1125,108,24
1WBgn38tPv_g3kunsUfkVN9zewPC2alz3IAmgiZYvP0usPABKdRUT0-1gI9iwa-8bVhLy0XqigCWcA,FW JitboyXD,uknow,2,1093,102,24
xg2fGYauhqsOpujRai24v3qlCVr8nwGFEoJUs3fZy29d6IRK_cDNEq8XFZw9AhmOb7lUU9ob84O5VA,BAAM Nhatthong2k,tommy,3,1071,354,24
,,,4,1058,112,24
vZb2yoXoPQFd1nR2vMBLeiPDnbJF25Z__IYG8S1kFqfzw7x3oXWJIQfpnj0dwvwGTL1MAdhjt_2Xtw,PRX f0rsakeN,Huh,5,1044,88,24
OgTh_sfiqOUmEwrmFfmh4WI2Wg7DGk9mXpFojBHLJAhmNcqXbbqU85AT5SfQXue9U-EMQvE2Z6fuNQ,NTER Ěren丨,不朽靈悟丨,6,1029,111,24
K6mjk0vttD22-N4fPRm7kbe6cIczAwVO88ZMruUgTYti3YPNZ7xlnI5Wj_d41DNhzAsbv-PUxjmMfA,SBE azys,CSGOD,7,1026,107,24
iCC_kUBUO3yrczkUb4OGpFtgB2W4xpkphEphGXCOVgRHDEbnTo-6ra4iy4uVaP30p_2bf8M56uSa9w,FANCY cryo TâyHồ,f1cio,8,1025,238,24
cn-W_MfP5M9LdW0d3-Tv4zR2UCr71c-koXwzxUckBIsxPO3iUGYQ2ftVAo2xtKPK7PuQm_9TdJTcAQ,GX DxN,0303,9,1010,157,24
CZcviCWqn2LzRktHjVkMmBrcySSG4nlHhPmljt7utIcn5Pywnmb8gYWxDGIfZvHAlzL2FMY6J_kvEg,NAOS blurred,pit,10,1004,109,24
HCUMXRMSoIwpayDIX6i4qEKdvLzBD8DuxaXYWIr-DxC0uf-ppkaVEwVNiTT28l3jQzKj4lnTJbcAIw,NCG Mojer,STR,11,1003,139,24
bxOcY6Enw65DLLcoY_T_OO-Vupxi2BpJ-9v_PH4EwH_Df-wY21e8xrrkWPnjiANBQO-BjOm7Dmqd_A,Secret BORKUM,1202,12,972,116,24
Dq1e64ma61hIQgLq_iw5FPEU7rEX-uE-GuyTMoTokDgztK87IRoMipemnhdudrFV90KwGVXLbRH1ZA,BTR sayoo,ndah,13,965,88,24
6dzo1UcpNKRmqgHpi3NgDOF1c9N00DO5ewL6_U0i21-BKMLHPTVaG921Kn88pl2Ubo_b5oRyOIKWpQ,CG autumn,prada,14,954,131,24
SP5B6G-MTfdq1tnEnHo9QQ9H1rOeWAbW_eluZ0IsmUKKcFrZdcjRCJtZSMQuZsOKh5IcZrOgU6o5Ww,PRX Jinggg,Jing,15,950,79,24
BOWzbtBSarxJOK-YdGk3_tz1VkO_QWpm-ecionfmqnR6aKUq41GQstvxcK1MEol4GkBpXXvqag0QDw,GE scrowssi,4646,16,939,160,24
vbvxs5hTZYpHwl-KlAWe_uiL-r89GKW5M38i9U9qsdF7r2B64DXkeClSdWRIbDhHAwYUlPBmeuI0gQ,BRN EJAY,raya,17,935,118,24
kJJfujw4fzjWKn_idBXMfnCh6hila_xLL3sNDRDJuPmBn9FYFwo_V9Pu7zEe9rTXLsoES4PwFN6gcA,ETH fluffy,JIHAN,18,919,136,24
Zy0wZCzJEdCtgrBMXe7SgFL_2x_4le2MiF2wcxcSMf0Z8zddryK76nwGA8vppVOJ1pD4ntu0GAxU1g,BTR budimeisteR,ahoy,19,917,140,24
rKBgXaUWMbaa8gUNZm2okCZLliU4cr8iUqeU1luGl_lHT_WS3OWpWGxlwtbcxN2DB-XWwQOGa5Di9w,RIG Foxy9,krjp,20,917,137,24
8RWgThh89q2t4s36u1OzN6Pj8ypruXuMnxRu1MKn8MfwNjSaECzKENGwFCeyElNrnzydXYGsch-QuQ,juicySG,hilda,21,913,79,24
ZzrMb49-G7UjkUfHNwEUtnwiW1W89lJzizRs9QroOzdFOf-kRC5b6B4ByvF1Udslbbo3AkEdWsVJcw,WBG FengF,1tap,22,905,86,24
MKgo3avkQ5qjZkLZn-wIut57krHrrSchM3fBPnFbFTamDF6cs1NCYpp2E0M679cUYpBUCHhKmZR9CA,Yongeatoreo,นอกจอ,23,901,124,24
lmDDreGwjvp5FCRQ1q1gR45s-cufl_zqtgCijXKXQqVWcc69zXpG6Vxh4tmQat7DF6VZGChYwJ0llA,SG something,9861,24,901,96,24
e0HtdrR-hINUrhOKRUb9EQ8wfhgaLxRNmzAm2VoSjzKohGMSuhnghO6AmnO82v0ZNJPgd_6Fv38C4w,Touch Me,1406,25,899,92,24
AhCu8RJMIqkuj2CYtui7_rTF2dirUF8YTK9-E4NLEpJmbC_dx3I4WoyIRaXdK0asXtwCc56FFKBy1A,Divine,2000,26,896,57,24
7O5Ep-e4tBfJjt_EFefeZGM5gx_SSg7jLC6ADjXUF92ATDPFkhGAg_k2lQvKNqoaOmzEt2Kjjj6npg,SNH Leviathan,Bell,27,893,185,24
,,,28,892,145,24
FjKmxPtj0ju3-bLKSGr8ackTWZtCRCGWFZUVmMxaMFwcF2oSS4ePtSffLvyQVQvf9kzX4nT7vY1BGQ,FS JohnOlsen,1TAP,29,888,130,24
VF2XAkImNDqbIJnDcW3vg33I3qbuW93_cx6ZVvO3blWmX868nbZLQLDAtSMvLBpsVxec9bInt7dBig,BRYCE,7777,30,885,184,24
bZ-PEz03-H9U8ScXtrEv59AbrQ2qGRg97MXgshEnSKgxN2oB8An_Ga8UosZxNqnAoAmmyTjKDOvbSQ,beo,rain,31,879,121,24
pFjYc__TmyjSinnXFve46Tu-xLaIVcIojyjESxfXGlX0KLm58jbTXnJjQlAIe863BmtUvEaAxnUFhQ,Vengeance,SENn,32,875,87,24
aIMoS4o4yWwiCfBHGR4pgCuh0nYdf3342BANJR4qLphh6NnzCAbtVzT41ueBGdLTL2bfedEjqsB6RA,DEFY eugeneS,PVN,33,873,129,24
GzjfGtH6WClO8uELK6Xp0w9MS183VKIOi8Czu3PhXe6kZl8_BzXJpycgwrSBtqJq24veL0Dyn1RoCg,APH tesseract,chii,34,872,162,24
NwK4AP1UiE6no5hc0kolHXLhs0g9XUh-6eBUnPXWOSbCNZqznIVhhN-wmpVM8Cqss41HE878qSsQ2Q,nephh,888,35,870,68,24
KNbSpORBE-yo0HZELk82p7191oV1ThuUD0rmxfstA3mWJ0vkKWqW_NAdsuH8kkE6DOXIDixOhbRTEQ,CGZ kobra,CGWIN,36,870,111,24
